collection_date,sticker,companyName,date,currentAssets_cash_and_cash_equivalents,currentAssets_cash_and_due_from_banks,currentAssets_short_term_investments,currentAssets_total_cash,currentAssets_inventories,currentAssets_deposits,currentAssets_derivative_assets,currentAssets_accumulated_other_comprehensive_income,currentAssets_trading_assets,currentAssets_other_current_assets,currentAssets_total_current_assets,nonCurrentAssets_land,nonCurrentAssets_fixtures_and_equipment,nonCurrentAssets_other_properties,nonCurrentAssets_property_and_equipment,nonCurrentAssets_property_and_equipment_at_cost,nonCurrentAssets_property_and_equipment_net,nonCurrentAssets_real_estate_properties,nonCurrentAssets_real_estate_properties_net,nonCurrentAssets_accumulated_depreciation,nonCurrentAssets_goodwill,nonCurrentAssets_intangible_assets,nonCurrentAssets_other_intangible_assets,nonCurrentAssets_deferred_revenues,nonCurrentAssets_receivables,nonCurrentAssets_premiums_and_other_receivables,nonCurrentAssets_unearned_premiums,nonCurrentAssets_prepaid_expenses,nonCurrentAssets_general_partner,nonCurrentAssets_minority_interest,nonCurrentAssets_net_loans,nonCurrentAssets_investments,nonCurrentAssets_equity_and_other_investments,nonCurrentAssets_other_long_term_assets,nonCurrentAssets_total_non_current_assets,other_assets,total_assets,currentLiabilities_accounts_payable,currentLiabilities_payables_and_accrued_expenses,currentLiabilities_short_term_debt,currentLiabilities_short_term_borrowing,currentLiabilities_capital_leases,currentLiabilities_taxes_payable,currentAssets_derivative_liabilities,currentLiabilities_other_current_liabilities,currentLiabilities_total_current_liabilities,nonCurrentLiabilities_accrued_liabilities,nonCurrentLiabilities_debt_securities,nonCurrentLiabilities_long_term_debt,nonCurrentLiabilities_capital_leases,nonCurrentLiabilities_deferred_taxes_liabilities,nonCurrentAssets_deferred_income_taxes,nonCurrentLiabilities_pensions_and_other_benefits,nonCurrentLiabilities_other_long_term_liabilities,nonCurrentLiabilities_total_non_current_liabilities,other_liabilities,total_liabilities,stockholdersEquity_additional_paid_in_capital,stockholdersEquity_retained_earnings,stockholdersEquity_treasurey_stock,stockholdersEquity_preferred_stock,stockholdersEquity_common_stock,total_stockholders_equity,total_liabilities_and_stockholders_equity
20180209,EYAPS,THESSALONIKA WATER & SEWERAGE,2014-12-01 00:00:00,50.0,,,50.0,1.0,,,27.0,,51.0,102.0,,,,,137.0,81.0,,,-56.0,,0.0,,,,,,,,,,,,2.0,87.0,,189.0,,,,,,7.0,,10.0,17.0,,,,,,5.0,,27.0,27.0,,44.0,3.0,75.0,,,41.0,146.0,189.0
20180209,EYAPS,THESSALONIKA WATER & SEWERAGE,2015-12-01 00:00:00,51.0,,,51.0,1.0,,,28.0,,55.0,107.0,,,,,143.0,81.0,,,-62.0,,0.0,,,,,,,,,,,,1.0,87.0,,194.0,,,,,,8.0,,10.0,18.0,,,,,,4.0,,21.0,21.0,,39.0,3.0,80.0,,,41.0,151.0,189.0
20180209,EYAPS,THESSALONIKA WATER & SEWERAGE,2016-12-01 00:00:00,57.0,,,57.0,2.0,,,28.0,,48.0,106.0,,,,,149.0,80.0,,,-68.0,,0.0,,,,,,,,,,,,2.0,86.0,,192.0,,,,,,1.0,,10.0,10.0,,,,,,3.0,,28.0,28.0,,38.0,3.0,82.0,,,41.0,154.0,192.0
20180209,EYDAP,EYDAP S.A. (CR),2012-12-01 00:00:00,43.0,,,43.0,18.0,,,445.0,,401.0,461.0,,,,,1384.0,995.0,,,-389.0,,5.0,,,,,,,,,,,,149.0,1207.0,,1668.0,,,185.0,,,9.0,,84.0,278.0,,,,,,57.0,211.0,297.0,508.0,,786.0,41.0,396.0,,,,882.0,1668.0
20180209,EYDAP,EYDAP S.A. (CR),2013-12-01 00:00:00,332.0,,,332.0,16.0,,,444.0,,222.0,569.0,,,,,1402.0,977.0,,,-425.0,,5.0,,,,,,,,,,,,7.0,1082.0,,1651.0,,,3.0,,,12.0,,184.0,199.0,,,,,,94.0,,501.0,501.0,,700.0,41.0,466.0,,,,951.0,1651.0
20180209,EYDAP,EYDAP S.A. (CR),2014-12-01 00:00:00,233.0,,,233.0,14.0,,,441.0,,238.0,485.0,,,,,1422.0,957.0,,,-465.0,,5.0,,,,,,,,,,,,7.0,1057.0,,1542.0,,,,,,,,69.0,69.0,,,,,,87.0,,551.0,551.0,,621.0,41.0,439.0,,,,921.0,1542.0
20180209,EYDAP,EYDAP S.A. (CR),2015-12-01 00:00:00,260.0,,,260.0,13.0,,,441.0,,258.0,531.0,,,,,1425.0,917.0,,,-508.0,,5.0,,,,,,,,,,,,32.0,1046.0,,1577.0,,,,,,28.0,,58.0,86.0,,,,,,92.0,,524.0,524.0,,610.0,41.0,485.0,,,,967.0,1577.0
20180209,EYDAP,EYDAP S.A. (CR),2016-12-01 00:00:00,281.0,,,281.0,12.0,,,442.0,,240.0,533.0,,,,,1433.0,881.0,,,-552.0,,5.0,,,,,,,,,,,,25.0,1019.0,,1552.0,,,,,,,,109.0,109.0,,,,,,108.0,,538.0,538.0,,647.0,41.0,422.0,,,,905.0,1552.0
20180209,FFGRP,FOLLI FOLLIE (CR),2012-12-01 00:00:00,126.0,,0.0,127.0,378.0,,,-109.0,,592.0,1096.0,41.0,109.0,203.0,,353.0,240.0,,,-113.0,,352.0,,,,,,,,20.0,,,,105.0,720.0,,1816.0,,,312.0,,,20.0,,152.0,485.0,,,429.0,,36.0,23.0,,41.0,527.0,,1011.0,145.0,768.0,,,,805.0,1816.0
20180209,FFGRP,FOLLI FOLLIE (CR),2013-12-01 00:00:00,252.0,,0.0,252.0,255.0,,,-63.0,,518.0,1025.0,38.0,90.0,142.0,,270.0,175.0,,,-95.0,,104.0,,,,,,,,23.0,,,,265.0,547.0,,1572.0,,,184.0,,,17.0,,120.0,324.0,,,5.0,31.0,13.0,3.0,,16.0,88.0,,412.0,145.0,1078.0,,,,1160.0,1572.0
